Species,Climate,Plot,Mesocosm,Moisture,GWC,SLA,LDMC,Species_biomass,Com_biomass,Other_biomass,Proportion,Richness_Bac_Root,Richness_Bac_Rhizo,Richness_Fun_Leaf,Richness_Fun_Root,Richness_Fun_Rhizo,PC1_Bac_Root,PC1_Bac_Rhizo,PC1_Fun_Leaf,PC1_Fun_Root,PC1_Fun_Rhizo,PC2_Bac_Root,PC2_Bac_Rhizo,PC2_Fun_Leaf,PC2_Fun_Root,PC2_Fun_Rhizo
Festuca,Future,C,25,900,12.05030961,62,208.3333333,0.894366197,295.116,294.2216338,0.3030558,553,692,4,54,95,0.373112686,0.298727576,0.203739952,-0.030558899,0.252949243,0.044144802,-0.21460418,-0.007221958,-0.519188709,-0.630209457
Festuca,Future,C,27,1200,16.1399646,25.2,303.030303,3.997183099,378.807,374.8098169,1.0552031,432,376,3,48,158,0.147053906,0.12896889,0.243906032,0.198317324,0.082289886,0.280360189,0.074253661,0.031272575,-0.298009993,-0.278059684
Festuca,Future,C,29,1500,20.00490316,29.55,227.2727273,1.942253521,310.788,308.8457465,0.6249448,523,538,5,77,175,-0.031273593,-0.051419189,0.260868315,0.110171924,0.299610215,0.10732545,-0.163867782,0.016414769,-0.382757274,-0.397272591
Festuca,Future,C,32,0,6.075412762,28.625,260.8695652,0.318309859,228.832,228.5136901,0.139102,488,505,6,70,147,0.153256627,0.068094313,0.278537855,0.127270694,0.136584693,0.276922451,-0.162270078,0.07507577,-0.36251641,-0.517719129
Festuca,Future,C,34,300,9.730542183,23.103,223.0769231,0.092957747,171.146,171.0530423,0.0543149,592,795,3,97,131,0.35908511,0.374446738,0.253382368,0.192195483,0.3607308,-0.138741705,-0.153211855,0.06103021,-0.123369497,-0.061475961
Festuca,Future,C,36,600,11.20004467,16.8,261.4379085,1.401408451,240.327,238.9255915,0.5831257,652,823,5,86,126,0.118787577,0.034939347,0.223771492,0.485361723,0.090216211,-0.020686391,-0.161925725,0.005652992,-0.071566043,-0.13036022
Festuca,Current,D,38,900,8.64749066,25.45,259.7402597,2.484507042,316.036,313.551493,0.7861468,621,778,5,67,142,0.221592315,0.164501673,0.252843434,0.064009066,0.554677589,0.249868946,-0.030499116,0.047096819,-0.19501682,-0.17175885
Festuca,Current,D,40,1200,16.4291337,24.81,247.0588235,30.50704225,379.819,349.3119578,8.0319948,614,679,3,74,129,0.229296348,-0.219425093,0.27843037,0.403437347,0.277573266,-0.361470761,-0.275004457,0.019411097,-0.012903596,-0.350464955
Festuca,Current,D,42,1500,14.2653867,21.748,226.8722467,8.883098592,320.334,311.4509014,2.7730739,542,521,4,99,175,-0.080290714,-0.194182043,0.278152451,0.252330792,0.322173657,-0.088681287,-0.291797429,-0.100904765,-0.299106482,-0.057448418
Festuca,Current,D,43,0,9.670848949,12.843,310.0303951,6.716901408,147.705,140.9880986,4.5475112,352,382,5,81,198,-0.232156496,-0.197706852,0.228986471,0.076745949,-0.065443505,0.670016176,0.779509393,0.020418513,-0.087528072,0.040254507
Festuca,Current,D,45,300,7.840698598,16.899,346.7336683,7.045070423,294.466,287.4209296,2.3924903,253,270,5,88,137,-0.026426278,0.02117039,0.244414729,0.061795978,0.104920864,0.30473723,0.016063912,0.038826424,-0.240406211,-0.16531297
Festuca,Current,D,47,600,9.611113439,21.357,300,6.783098592,305.922,299.1389014,2.2172641,523,538,4,99,169,-0.123219936,0.105313596,0.262655001,0.32647408,0.245391875,-0.224770419,-0.310407757,-0.009881843,0.17344022,-0.162988366
Lolium,Future,A,1,700,7.849728307,26.503,197.9381443,85.08873239,210.705,125.6162676,40.3828729,631,836,2,60,106,-0.624628453,-0.308427308,0.200436032,-0.056802545,-0.283915162,-0.30433191,0.086901005,0.306176584,0.224868824,0.227281137
Lolium,Future,A,3,1600,9.530503233,30.356,220.5206738,26.61971831,537.079,510.4592817,4.9563879,595,535,2,64,162,-0.429908571,-0.313972904,-0.422228084,0.117629211,-0.044127105,-0.412281409,-0.122394762,-0.013309075,0.514473431,0.542688164
Lolium,Future,A,5,0,7.074982364,29.394,232.8767123,39.35915493,214.226,174.8668451,18.3727255,232,202,2,104,154,0.174346798,-0.20069042,0.229329664,-0.393553063,-0.354396049,-0.039325592,-0.077171136,0.719087878,0.475115247,0.265867795
Lolium,Future,A,8,400,7.1942959,28.04,179.9544419,25.16619718,456.61,431.4438028,5.51153,586,604,3,89,159,-0.242702474,-0.18614585,-0.380900254,-0.192323094,-0.164434844,0.277533687,0.593421156,-0.038364854,0.651524969,0.542851832
Lolium,Future,A,10,1300,10.04681671,34.616,150.9433962,28.98309859,591.937,562.9539014,4.8963147,394,519,3,53,147,0.115923541,0.203440488,-0.442005333,-0.13043019,-0.251568817,0.035678401,0.096862574,-0.010545582,0.341221037,0.284156524
Lolium,Future,A,12,1000,8.557844691,22.358,257.5406032,61.03098592,262.902,201.8710141,23.2143483,361,358,3,74,198,-0.00258283,0.127433589,-0.291162121,-0.457891085,-0.229228774,0.33445015,0.006840783,0.037893207,0.109313122,0.215226074
Lolium,Current,B,14,700,8.956181566,18.244,221.9286658,177.4746479,303.783,126.3083521,58.4215206,437,505,4,86,168,0.28276701,0.351140115,-0.376832924,-0.367983627,-0.323816464,-0.320039292,0.12214254,-0.021988994,-0.054431034,0.038501166
Lolium,Current,B,16,1600,11.26601723,27.555,204.6979866,122.5478873,484.996,362.4481127,25.267814,734,673,2,76,159,0.146247703,-0.01929107,-0.42483494,-0.25246259,-0.16623665,0.012124427,0.725675793,-0.037564995,0.161041074,-0.040677244
Lolium,Current,B,18,0,10.63711655,15.34,235.1664255,71.96197183,217.65,145.6880282,33.0631619,658,877,2,69,161,0.032475167,0.181342746,-0.410373773,-0.433620465,-0.206510777,0.285038317,-0.027592725,-0.047349467,-0.32258624,-0.087249343
