,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A08W1R,-0.192323094,0.651524969,0.180775936,-0.149843957,0.525154848,0.184535344,Future,Lolium,400,M2
A08W2R,-0.185071488,0.473613172,-0.042797587,0.211900877,-0.618766069,-0.07691741,Future,Lolium,400,M2
A10W1R,-0.13043019,0.341221037,-0.292595048,-0.124588032,-0.436784604,-0.108217061,Future,Lolium,1300,M5
A10W2R,-0.10168582,0.356394774,-0.225062451,0.018006497,-0.707506196,0.025291919,Future,Lolium,1300,M5
A12W1R,-0.457891085,0.109313122,0.406367509,-0.182370484,0.145927226,-0.478893144,Future,Lolium,1000,M4
A12W2R,-0.10414462,0.231792509,-0.288549123,-0.157729021,-0.218588505,0.084558609,Future,Lolium,1000,M4
B14W1R,-0.367983627,-0.054431034,-0.041451713,0.302505087,-0.327376514,0.050008397,Current,Lolium,700,M3
B14W2R,-0.391766366,-0.031743087,-0.193268312,0.07693414,-0.041447025,-0.093962346,Current,Lolium,700,M3
B16W1R,-0.25246259,0.161041074,-0.287362582,-0.012995515,-0.324316727,0.044120996,Current,Lolium,1600,M6
B16W2R,-0.120087649,0.225910395,0.079123134,-0.141322675,-0.50619919,0.133975236,Current,Lolium,1600,M6
B18W1R,-0.433620465,-0.32258624,-0.064832194,-0.220652987,0.236030323,0.186523094,Current,Lolium,0,M1
B18W2R,-0.188080982,-0.200355595,-0.2338791,-0.304607119,-0.02641939,-0.167573632,Current,Lolium,0,M1
B19W1R,-0.190876821,-0.128122633,-0.212589659,-0.146799625,-0.207257348,0.066661945,Current,Lolium,400,M2
B19W2R,-0.327523528,0.056231872,0.096748408,0.030933615,-0.011447945,-0.128738101,Current,Lolium,400,M2
B21W1R,-0.29048809,0.031439233,-0.133648285,-0.018219603,-0.332004776,0.205407633,Current,Lolium,1300,M5
B21W2R,0.096245227,0.591898622,0.188451566,0.832600181,-0.241587504,-0.005561051,Current,Lolium,1300,M5
B23W1R,-0.288160584,-0.144619892,-0.009332426,0.206620329,0.246580768,0.021534923,Current,Lolium,1000,M4
B23W2R,-0.285378862,0.002860523,0.267632952,-0.252407883,0.278097705,-0.295516806,Current,Lolium,1000,M4
C26W1R,-0.20955841,-0.143164558,-0.098807485,0.450482269,0.245742509,-0.005292946,Future,Lolium,900,M4
C26W2R,-0.352583116,-0.145837947,0.114868233,-0.205440155,0.208094015,-0.046832293,Future,Lolium,900,M4
C28W1R,-0.413990427,0.09960689,0.240181179,0.098837854,0.421758905,-0.67274138,Future,Lolium,1200,M5
C28W2R,0.122048816,-0.105936127,-0.753948394,0.106137318,0.271293604,-0.023784024,Future,Lolium,1200,M5
C30W1R,0.293735746,-0.004241432,-0.626287978,0.19084526,0.369717757,-0.654974511,Future,Lolium,1500,M6
C30W2R,-0.094048901,-0.208363451,-0.090236552,0.022952642,-0.099260491,0.196208669,Future,Lolium,1500,M6
C31W1R,-0.234775858,-0.004103084,-0.290489428,0.248660084,-0.269587809,0.060722931,Future,Lolium,0,M1
C31W2R,-0.468967669,-0.035190395,-0.040611721,0.514137049,-0.218332595,0.20130891,Future,Lolium,0,M1
C33W1R,-0.264882206,-0.432712087,-0.019036998,0.345823672,0.329210625,-0.060226525,Future,Lolium,300,M2
C33W2R,0.064538315,-0.017031525,-0.607868544,0.070997386,0.01521689,-0.899590466,Future,Lolium,300,M2
C35W1R,-0.323509903,-0.151504694,0.219851326,0.031773124,0.400601364,-0.471699435,Future,Lolium,600,M3
C35W2R,-0.177348805,0.056724257,0.129591039,-0.128292506,0.520254896,-0.49945983,Future,Lolium,600,M3
D37W1R,0.157686939,0.122195617,-0.398054105,-0.318118029,-0.248678661,-0.476476902,Current,Lolium,900,M4
D37W2R,-0.281291762,-0.144978508,0.086045484,0.043873778,-0.119170281,-0.012534769,Current,Lolium,900,M4
D39W1R,-0.251195062,-0.116174568,-0.19262731,-0.330036526,0.126347592,-0.00594626,Current,Lolium,1200,M5
D39W2R,-0.244405492,-0.090048008,0.08583948,-0.048620601,-0.192154405,0.375887049,Current,Lolium,1200,M5
D41W1R,-0.15885999,-0.091450224,0.312638521,0.11606145,0.169707424,-0.091079887,Current,Lolium,1500,M6
D41W2R,-0.312468197,-0.133339581,0.180752842,-0.161247851,0.255194373,-0.021056936,Current,Lolium,1500,M6
D44W1R,-0.41873438,-0.075319112,0.096402962,0.018318316,-0.135192715,0.027593325,Current,Lolium,0,M1
D44W2R,-0.200705635,-0.01696578,0.109532299,-0.399930876,0.100595618,-0.354288061,Current,Lolium,0,M1
D46W1R,-0.320431792,-0.233873567,0.009610674,-0.011190906,0.186485029,0.247357029,Current,Lolium,300,M2
D46W2R,-0.170653189,0.118656163,-0.401035296,0.342770089,-0.481927213,0.260286281,Current,Lolium,300,M2
D48W1R,-0.084071977,0.196712812,-0.223767172,-0.224536733,-0.072511881,0.138535843,Current,Lolium,600,M3
D48W2R,-0.289334086,0.458805167,-0.10624312,0.826092641,0.056202648,0.376567044,Current,Lolium,600,M3
