,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
B18W2L,-0.292857992,-0.556557045,-0.456676147,0.279927943,0.252803831,0.130158188,Current,Lolium,0,M1
B19W1L,0.523005448,0.469395878,-0.347615934,-0.00670793,0.19265134,0.145352308,Current,Lolium,400,M2
B21W1L,-0.187064518,0.408181808,-0.776782299,0.254279514,0.27402658,0.127240566,Current,Lolium,1300,M5
B21W2L,0.559138947,-0.116485922,0.251066318,-0.131598157,0.188675612,0.285671918,Current,Lolium,1300,M5
B23W1L,0.090830557,0.211487734,-0.052651972,-0.393285311,-0.302786901,0.424504469,Current,Lolium,1000,M4
B23W2L,-0.270549266,-0.612330335,-0.505538426,0.290878861,0.187811408,0.065439416,Current,Lolium,1000,M4
C26W1L,-0.25414754,0.092704966,0.246492483,-0.187958016,0.16726419,0.055714231,Future,Lolium,900,M4
C26W2L,-0.234082249,0.026416281,0.14606256,-0.046373659,0.123210416,-0.011371355,Future,Lolium,900,M4
C28W1L,0.353584647,-0.05196022,0.175052728,-0.569933349,-0.633474354,0.619862471,Future,Lolium,1200,M5
C28W2L,-0.241946766,0.081839596,0.163305553,-0.189408193,0.018234853,0.152786839,Future,Lolium,1200,M5
C30W1L,-0.242301495,0.060955288,0.192679735,-0.095013155,0.127887534,-0.046188933,Future,Lolium,1500,M6
C30W2L,-0.19201503,0.21163688,0.456694196,0.972163166,-0.398061348,0.038241079,Future,Lolium,1500,M6
C31W1L,-0.243994665,0.099516289,0.138562239,-0.635595983,-0.816838548,0.533481603,Future,Lolium,0,M1
C31W2L,-0.235013148,0.10011106,0.093860669,-0.731562784,-1.035499876,0.60301569,Future,Lolium,0,M1
C33W1L,-0.244905877,0.099959397,0.231353016,-0.143419169,0.127632219,-0.157998443,Future,Lolium,300,M2
C33W2L,-0.234514018,0.074486846,0.203831263,-0.113113804,0.108474184,0.002679917,Future,Lolium,300,M2
C35W1L,-0.166757385,0.532267951,-0.33087696,-0.57434139,-0.818057001,0.493046083,Future,Lolium,600,M3
C35W2L,0.229732452,0.089024696,0.478095543,0.802807685,-0.260491825,0.187165043,Future,Lolium,600,M3
D37W1L,-0.267579192,-0.688804534,-0.400638066,0.222431177,0.056297903,0.20409344,Current,Lolium,900,M4
D37W2L,-0.349568299,-0.324468918,-0.257982544,0.282638434,0.226997182,0.474551822,Current,Lolium,900,M4
D39W2L,0.570708517,-0.361700818,0.04525278,-0.077078725,-0.060149919,-0.222752641,Current,Lolium,1200,M5
D41W1L,-0.296843917,-0.589828671,-0.305128622,0.161841008,0.062776475,0.317535624,Current,Lolium,1500,M6
D41W2L,-0.240650037,-0.586566094,-0.477762516,-0.013736274,-0.416259778,-0.296963152,Current,Lolium,1500,M6
D44W2L,-0.235747947,0.028202272,0.178382881,-0.101506896,0.115304767,0.092327473,Current,Lolium,0,M1
D46W1L,-0.081574902,0.791128714,-0.591935207,0.045996932,0.103832167,-0.084673382,Current,Lolium,300,M2
D46W2L,-0.230655709,0.031049425,0.150282152,-0.087190145,0.022070418,-0.086113943,Current,Lolium,300,M2
D48W1L,-0.341962569,-0.583456471,-0.496872366,0.305284887,0.217073913,0.394967578,Current,Lolium,600,M3
D48W2L,-0.296224059,-0.393141458,-0.381088357,0.148868459,0.153276837,0.119852737,Current,Lolium,600,M3
