,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A08W1S,-0.164434844,0.542851832,-0.102829859,0.176717317,0.296388725,0.083187587,Future,Lolium,400,M2
A08W2S,-0.27708184,0.311209933,-0.240037404,0.151234422,0.31608867,-0.137424698,Future,Lolium,400,M2
A10W1S,-0.251568817,0.284156524,-0.222470523,-0.234899851,-0.142078674,-0.357780598,Future,Lolium,1300,M5
A10W2S,-0.241460011,0.205016246,-0.07143557,-0.313579072,-0.056495028,-0.507472426,Future,Lolium,1300,M5
A12W1S,-0.229228774,0.215226074,0.154544828,-0.285004346,-0.037398049,-0.340616268,Future,Lolium,1000,M4
A12W2S,-0.197311242,0.210020118,0.541748809,-0.522689164,0.13397762,-0.344793338,Future,Lolium,1000,M4
B14W1S,-0.323816464,0.038501166,-0.158063024,0.221090907,-0.01263374,-0.103997812,Current,Lolium,700,M3
B14W2S,-0.403089388,0.016316014,0.228946268,-0.052210169,0.053830779,-0.148475897,Current,Lolium,700,M3
B16W1S,-0.16623665,-0.040677244,-0.432055618,0.366566315,-0.05493651,0.150885831,Current,Lolium,1600,M6
B16W2S,-0.120143192,-0.025081501,-0.353046945,0.06316669,0.202493572,0.085423745,Current,Lolium,1600,M6
B18W1S,-0.206510777,-0.087249343,-0.035396323,-0.046627669,0.099359481,-0.323504266,Current,Lolium,0,M1
B18W2S,-0.315946502,0.024990138,-0.097833625,-0.122186102,0.148299138,-0.199558942,Current,Lolium,0,M1
B19W1S,-0.126126416,0.106933758,-0.292926873,0.419183285,-0.117447714,0.106085406,Current,Lolium,400,M2
B19W2S,-0.312292872,0.146664792,-0.040950303,0.207260765,-0.086207043,-0.018303576,Current,Lolium,400,M2
B21W1S,-0.31642428,-0.0492815,-0.154118788,0.415924724,0.01139627,-0.219771019,Current,Lolium,1300,M5
B21W2S,-0.322985175,-0.085349196,0.246703887,0.420744132,0.035697865,-0.136843139,Current,Lolium,1300,M5
B23W1S,-0.151006423,0.014117329,-0.409403055,-0.014841348,0.042774373,0.157443997,Current,Lolium,1000,M4
B23W2S,-0.115044983,0.114194622,-0.301768351,-0.296070743,0.121616,-0.103626786,Current,Lolium,1000,M4
C26W1S,-0.324380068,-0.178836257,0.26588667,-0.04341691,-0.091257918,-0.102551765,Future,Lolium,900,M4
C26W2S,-0.348637351,-0.181384585,0.490404899,-0.113533708,0.013325805,0.134778844,Future,Lolium,900,M4
C28W1S,-0.195888627,-0.05649692,0.579000767,-0.350160829,-0.170188067,0.089706738,Future,Lolium,1200,M5
C28W2S,-0.261716374,-0.12381887,0.095213397,0.521322893,0.110064096,-0.129381786,Future,Lolium,1200,M5
C30W1S,-0.414600545,-0.118708595,0.418245333,-0.076499118,0.091368236,0.293558798,Future,Lolium,1500,M6
C30W2S,-0.066161135,-0.288576905,0.190661506,-0.06584038,0.373956868,-0.498576817,Future,Lolium,1500,M6
C31W1S,-0.292178609,-0.171515665,0.398961294,0.68591107,0.039391118,0.025540629,Future,Lolium,0,M1
C31W2S,-0.340158687,-0.217930157,0.350098745,0.188304984,0.286811063,0.075737092,Future,Lolium,0,M1
C33W1S,-0.231662943,-0.505717509,0.346538599,0.621155848,0.211023373,0.154246498,Future,Lolium,300,M2
C33W2S,-0.282305444,-0.21742053,0.46594314,0.100730046,0.111541455,0.780346931,Future,Lolium,300,M2
C35W1S,-0.26128327,-0.103690734,0.612018016,-0.183213236,-0.162783907,0.183335538,Future,Lolium,600,M3
C35W2S,-0.175187577,-0.042173257,0.464489411,-0.255418779,-0.157995023,0.46992072,Future,Lolium,600,M3
D37W1S,-0.311388022,0.246038413,-0.332425078,0.048389124,-0.223551606,0.49937547,Current,Lolium,900,M4
D37W2S,-0.150139099,0.022158007,-0.400531919,-0.02100739,0.083420737,0.221987867,Current,Lolium,900,M4
D39W1S,-0.293739653,-0.043491552,0.009702331,0.039696625,-0.072297261,0.278574217,Current,Lolium,1200,M5
D39W2S,-0.073113803,-0.141322559,-0.168169492,-0.185522607,0.277359125,-0.292627603,Current,Lolium,1200,M5
D41W1S,-0.012641713,-0.036310401,-0.418127986,-0.043001983,0.39673877,-0.274911817,Current,Lolium,1500,M6
D41W2S,-0.118453015,0.067850423,-0.279388098,-0.228931796,0.064392349,-0.084333157,Current,Lolium,1500,M6
D44W1S,-0.330091371,-0.068066892,0.169093014,-0.262123043,0.263312248,0.191828343,Current,Lolium,0,M1
D44W2S,-0.232609307,0.226599684,-0.231823562,-0.18407161,-0.273100897,0.08979282,Current,Lolium,0,M1
D46W1S,-0.022068783,-0.142429223,-0.124572459,-0.355832785,0.59674856,-0.109934458,Current,Lolium,300,M2
D46W2S,0.076178909,-0.087404884,-0.238831382,-0.084070423,0.917622097,-0.102798344,Current,Lolium,300,M2
D48W1S,-0.193508748,0.173822204,-0.264012394,0.060051997,0.168219894,0.017720246,Current,Lolium,600,M3
D48W2S,0.02278617,0.328544703,0.070090324,0.083301855,0.73709601,-0.299406543,Current,Lolium,600,M3
