Species,Climate,Plot,Mesocosm,Moisture,GWC,PC1_Bac_Root,PC1_Bac_Rhizo,PC1_Fun_Leaf,PC1_Fun_Root,PC1_Fun_Rhizo,PC2_Bac_Root,PC2_Bac_Rhizo,PC2_Fun_Leaf,PC2_Fun_Root,PC2_Fun_Rhizo
Lolium,Current,B,23,1000,9.438405416,-0.034007809,-0.169866385,-0.230749585,-0.288160584,-0.151006423,0.183066814,-0.12517256,0.012613044,-0.144619892,0.014117329
Lolium,Future,C,26,900,9.317005933,0.158839824,-0.136174415,-0.428237948,-0.20955841,-0.324380068,0.107920245,0.368866877,-0.018819806,-0.143164558,-0.178836257
Lolium,Future,C,28,1200,11.69067475,-0.302430739,-0.535534791,-0.441417736,-0.413990427,-0.195888627,0.124711226,-0.168410917,-0.025050684,0.09960689,-0.05649692
Lolium,Future,C,30,1500,11.4048657,-0.393557296,-0.478153387,0.214456242,0.293735746,-0.414600545,-0.191088798,-0.117653305,0.280596984,-0.004241432,-0.118708595
Lolium,Future,C,31,0,7.638292309,0.364021749,0.385749207,-0.436479719,-0.234775858,-0.292178609,0.023760013,0.065548616,-0.029232009,-0.004103084,-0.171515665
Lolium,Future,C,33,300,8.430723502,0.272419647,0.219329634,-0.127545161,-0.264882206,-0.231662943,0.091227611,-0.004227264,0.112803584,-0.432712087,-0.505717509
Lolium,Future,C,35,600,10.05391196,-0.410316264,-0.542380734,-0.397613275,-0.323509903,-0.26128327,-0.153481024,-0.199019799,-0.03338946,-0.151504694,-0.103690734
Lolium,Current,D,37,900,8.583899127,-0.219497842,-0.127936783,-0.140781568,0.157686939,-0.311388022,0.206436326,0.527476068,0.008017227,0.122195617,0.246038413
Lolium,Current,D,39,1200,8.280185534,-0.086846723,-0.15984779,0.236049523,-0.251195062,-0.293739653,0.164640375,0.390495846,0.841113805,-0.116174568,-0.043491552
Lolium,Current,D,41,1500,11.75979304,0.451916931,0.445199006,-0.397654802,-0.15885999,-0.012641713,-0.240029445,-0.07799915,0.010200154,-0.091450224,-0.036310401
Lolium,Current,D,44,0,7.174925175,-0.190884643,-0.256247144,-0.271842149,-0.41873438,-0.330091371,-0.219403544,0.033732766,0.027183373,-0.075319112,-0.068066892
Lolium,Current,D,46,300,20.60101642,-0.089543774,-0.123124188,0.207655301,-0.320431792,-0.022068783,0.069808928,-0.111864036,0.313681267,-0.233873567,-0.142429223
Lolium,Current,D,48,600,11.55219601,0.120319164,-0.006410473,-0.306534572,-0.084071977,-0.193508748,0.131133459,-0.049294728,0.012385579,0.196712812,0.173822204
Festuca,Future,A,2,700,7.025081906,-0.406474622,-0.168145509,0.27088437,0.385278217,0.107397266,0.365851238,0.00096307,-0.440839917,0.214316311,0.139615034
Festuca,Future,A,4,1600,11.53846154,0.064311538,0.135662301,0.273441529,0.090087281,0.324977328,-0.236305027,-0.193382671,-0.897034348,-0.187844828,0.006884761
Festuca,Future,A,6,0,8.468854123,-0.062282274,-0.09812664,0.264710117,0.178337295,0.063358397,0.07786506,-0.006051082,-0.645909312,-0.181767845,0.147971634
Festuca,Future,A,7,400,7.855652387,-0.388251275,-0.464008741,0.286376776,0.53111594,0.282750912,-0.232255568,-0.277847138,-0.784704214,0.280751099,0.166600511
Festuca,Future,A,9,1300,11.77822905,-0.099565449,-0.438109783,0.283565195,0.37566647,0.038840005,-0.036478987,-0.246426082,-0.694228346,-0.209470839,0.127982949
Festuca,Future,A,11,1000,8.066911251,-0.316178986,0.131183095,0.233135957,0.412122951,0.661871882,-0.103380383,-0.270239506,-0.105668624,0.828618123,0.855769965
Festuca,Current,B,13,700,9.796478304,-0.144458178,-0.11581483,0.288065394,0.091040444,0.159214268,0.103008555,0.039334478,0.062419097,0.060589225,-0.172707133
Festuca,Current,B,15,1600,14.84019674,0.431303808,0.03627587,0.272776458,0.078470984,0.332907291,-0.392752419,-0.378154602,-0.699185139,-0.448504581,-0.430709495
Festuca,Current,B,17,0,8.008504607,-0.337038521,-0.219503003,0.21555918,0.008631258,0.032965104,0.200974908,-0.083612983,-0.086764896,-0.094557176,0.010615395
Festuca,Current,B,20,400,7.119490739,-0.006100737,0.2631043,0.236400243,0.146934102,0.018575487,-0.142252678,-0.063298586,0.090300022,-0.066931871,-0.089766497
Festuca,Current,B,22,1300,22.93982783,-0.033474095,0.126235344,0.218338133,0.036998318,0.294166205,-0.095531613,-0.248749427,0.03635157,-0.044322528,-0.070936854
Festuca,Current,B,24,1000,22.8444974,0.202698608,0.279217102,0.270121909,-0.067286673,0.084451316,-0.086353547,-0.086288247,-0.072510706,-0.254408241,0.037839243
Festuca,Future,C,25,900,12.05030961,0.171410017,0.164884423,0.204644334,0.396054716,0.220241208,0.195965654,-0.221608381,0.057908363,-0.241874859,-0.236362825
Festuca,Future,C,27,1200,16.1399646,0.239553742,0.323054524,0.242873762,0.339249187,0.226786809,-0.102933353,-0.176209737,0.038481507,-0.351608974,-0.338015705
Festuca,Future,C,29,1500,20.00490316,-0.163803241,-0.103896321,0.253224337,0.220008133,0.17958673,-0.154071691,-0.192691894,0.00802926,-0.244055986,-0.234297073
Festuca,Future,C,32,0,6.075412762,0.462906638,0.342850021,0.257341812,-0.062027342,0.040245045,-0.03078776,-0.049379534,0.037975796,-0.280205563,-0.404851789
Festuca,Future,C,34,300,9.730542183,0.238064238,0.129115151,0.236611108,0.296651058,1.58E-05,0.402829592,-0.077488821,0.096011832,-0.232711867,-0.104208657
Festuca,Future,C,36,600,11.20004467,0.469206889,0.423636446,0.222756593,0.379412255,0.40964878,-0.162984223,-0.086852091,0.042245319,0.002724627,-0.065261536
Festuca,Current,D,38,900,8.64749066,-0.280230799,-0.223501712,0.224888681,0.168908671,0.046894671,0.51545736,0.160645003,0.047994546,-0.237193092,-0.101790831
Festuca,Current,D,40,1200,16.4291337,-0.504751909,-0.530201432,0.215487573,0.385988998,0.440082423,-0.396634289,-0.255401301,0.070780868,-0.229412316,-0.278797416
Festuca,Current,D,42,1500,14.2653867,-0.082470394,-0.207259381,0.269537403,0.520053384,0.345437759,0.265747943,-0.235869092,0.01485681,-0.130339435,-0.171231325
Festuca,Current,D,43,0,9.670848949,-0.070877886,0.306299555,0.270702562,0.001301746,0.604300498,0.273782225,0.038571755,0.07739438,-0.235337536,0.098088342
Festuca,Current,D,45,300,7.840698598,-0.264636913,-0.252126995,0.288680746,-0.291380357,-0.135502401,0.289209872,0.705269117,0.041547398,-0.029127583,0.183524272
Festuca,Current,D,47,600,9.611113439,-0.321998989,-0.322542941,0.258345551,0.5081112,0.173207202,-0.118560365,-0.25250413,0.002841992,0.118012353,-0.180954762
Lolium,Future,A,1,700,7.849728307,-0.050752687,0.240199433,-0.427524414,-0.152054328,-0.144975044,-0.146122414,0.174481054,-0.001973589,0.474190443,0.417509098
Lolium,Future,A,3,1600,9.530503233,0.071569955,0.096608047,-0.447126925,-0.265533806,-0.019029362,0.111737394,0.44023471,-0.006056381,0.462032694,0.681452045
Lolium,Future,A,5,0,7.074982364,0.499823946,0.412473303,0.223993078,-0.573824659,-0.259263708,-0.316670362,-0.011391927,0.806771369,0.206341253,0.060774846
