,PC1,PC2,PC3,PC4,PC5,PC6,Climate,Species,Moisture,Levels
A08W1R,-0.242702474,0.277533687,-0.07358411,0.246543835,-0.288473136,-0.063185907,Future,Lolium,400,M2
A08W2R,0.034329889,-0.331763172,-0.071107182,0.38226295,-0.268106215,-0.178783474,Future,Lolium,400,M2
A10W1R,0.115923541,0.035678401,-0.61100078,-0.221419215,-0.344943219,-0.336213809,Future,Lolium,1300,M5
A10W2R,0.192230323,-0.104113836,-0.560543791,-0.161294879,-0.256952482,-0.250315198,Future,Lolium,1300,M5
A12W1R,-0.00258283,0.33445015,0.295078753,0.157872834,-0.273116127,0.159587658,Future,Lolium,1000,M4
A12W2R,-0.070428571,0.125839155,-0.175472062,0.034455877,-0.156250344,0.041986644,Future,Lolium,1000,M4
B14W1R,0.28276701,-0.320039292,0.122717878,0.1028601,-0.361723564,-0.033341238,Current,Lolium,700,M3
B14W2R,-0.349407027,-0.47988506,0.53194512,-0.354862941,-0.086730254,0.074519671,Current,Lolium,700,M3
B16W1R,0.146247703,0.012124427,-0.00427602,-0.020167649,0.24872196,-0.120629896,Current,Lolium,1600,M6
B16W2R,-0.011489177,0.230671329,-0.077848453,0.161480572,-0.177786356,-0.150100096,Current,Lolium,1600,M6
B18W1R,0.032475167,0.285038317,0.249381884,0.104269493,-0.193105033,0.184818037,Current,Lolium,0,M1
B18W2R,0.17251763,0.302668655,-0.005007212,-0.312399007,-0.298679358,0.433875768,Current,Lolium,0,M1
B19W1R,0.130605573,0.004347855,0.045463791,-0.05256571,-0.013302498,0.229800193,Current,Lolium,400,M2
B19W2R,-0.168348097,0.260774948,0.071272805,0.061215487,-0.300611372,-0.167966264,Current,Lolium,400,M2
B21W1R,0.133150558,-0.063882325,-0.16850505,0.07393217,-0.307723406,0.399119019,Current,Lolium,1300,M5
B21W2R,0.418874069,-0.114149152,0.250827778,-0.135066471,-0.370470072,-0.102540233,Current,Lolium,1300,M5
B23W1R,-0.034007809,0.183066814,0.416298529,0.039913292,0.163306752,-0.372883897,Current,Lolium,1000,M4
B23W2R,-0.326062609,0.584234041,-0.074308476,-0.23176557,-0.191870407,-0.858955657,Current,Lolium,1000,M4
C26W1R,0.158839824,0.107920245,0.313768291,-0.029772421,-0.190708374,-0.351220948,Future,Lolium,900,M4
C26W2R,0.062994822,-0.289368376,-0.037317985,0.058070509,-0.378729176,0.1083651,Future,Lolium,900,M4
C28W1R,-0.302430739,0.124711226,0.013721079,-0.308316029,-0.125433476,-0.175047028,Future,Lolium,1200,M5
C28W2R,0.086647425,0.011812494,-0.790906651,-0.549485282,0.274799956,0.267132558,Future,Lolium,1200,M5
C30W1R,-0.393557296,-0.191088798,-0.688965869,-0.772835653,0.190146842,0.356127659,Future,Lolium,1500,M6
C30W2R,0.453669206,0.010949934,-0.13772302,-0.421845078,0.070218317,0.119005746,Future,Lolium,1500,M6
C31W1R,0.364021749,0.023760013,-0.042822561,-0.447968383,-0.600242412,0.215122683,Future,Lolium,0,M1
C31W2R,0.458684905,-0.408080611,0.151155458,-0.287899304,-0.024997464,-0.603992355,Future,Lolium,0,M1
C33W1R,0.272419647,0.091227611,0.32783737,-0.219492324,-0.29058864,0.496819512,Future,Lolium,300,M2
C33W2R,-0.591765978,-0.711397356,0.372162735,-0.456726514,-0.083144376,0.125507909,Future,Lolium,300,M2
C35W1R,-0.410316264,-0.153481024,0.555031872,-0.429958689,-0.227157484,0.048721468,Future,Lolium,600,M3
C35W2R,-0.627807424,-0.632172457,0.305942849,-0.495539149,-0.059080359,0.182131037,Future,Lolium,600,M3
D37W1R,-0.219497842,0.206436326,-0.587121809,-0.409472761,-0.22167941,0.355909384,Current,Lolium,900,M4
D37W2R,0.148860831,0.193665582,0.244549866,0.240079232,-0.229524742,0.318795397,Current,Lolium,900,M4
D39W1R,-0.086846723,0.164640375,0.116297457,0.189816549,-0.19193636,0.213990874,Current,Lolium,1200,M5
D39W2R,0.162351139,0.066281386,0.069678928,-0.002690605,-0.039808343,0.225367755,Current,Lolium,1200,M5
D41W1R,0.451916931,-0.240029445,0.001237865,0.044371047,0.001006239,-0.155511259,Current,Lolium,1500,M6
D41W2R,0.286132205,-0.034417395,-0.000229205,-0.167428603,-0.165506607,0.198927121,Current,Lolium,1500,M6
D44W1R,-0.190884643,-0.219403544,0.295054375,0.030746623,-0.394064422,0.254483126,Current,Lolium,0,M1
D44W2R,-0.336485711,0.537197646,-0.193099203,-0.494733972,-0.332581122,-0.866027676,Current,Lolium,0,M1
D46W1R,-0.089543774,0.069808928,0.036488742,-0.02277942,-0.499467836,0.14541956,Current,Lolium,300,M2
D46W2R,0.421453989,-0.469017513,-0.245664552,-0.029251452,-0.005906614,-0.177489712,Current,Lolium,300,M2
D48W1R,0.120319164,0.131133459,-0.338003207,-0.303848923,-0.188882484,0.406986491,Current,Lolium,600,M3
D48W2R,0.405937054,-0.334014261,0.043275716,-0.028260664,-0.479983355,-0.443634077,Current,Lolium,600,M3
