,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A08W1S,-0.18614585,0.593421156,-0.039201749,0.147016037,-0.288932177,0.043570786,Future,Lolium,400,M2
A08W2S,0.29919168,0.055218013,-0.608585659,0.078843432,-0.061355849,-0.112126109,Future,Lolium,400,M2
A10W1S,0.203440488,0.096862574,-0.235564241,-0.124514603,0.04591102,0.140254858,Future,Lolium,1300,M5
A10W2S,0.389888903,0.059622846,-0.340630336,-0.049137465,0.154603082,0.291647087,Future,Lolium,1300,M5
A12W1S,0.127433589,0.006840783,0.096817761,-0.311736277,0.525926536,-0.132270122,Future,Lolium,1000,M4
A12W2S,-0.097959013,-0.023661879,-0.137972533,-0.645119708,0.13432418,0.297570152,Future,Lolium,1000,M4
B14W1S,0.351140115,0.12214254,-0.613352564,-0.007243682,0.128362314,0.111685208,Current,Lolium,700,M3
B14W2S,-0.258105017,-0.147729768,-0.305279265,-0.213662828,0.360513786,0.400572097,Current,Lolium,700,M3
B16W1S,-0.01929107,0.725675793,0.080445565,0.295601745,0.144467282,0.207993308,Current,Lolium,1600,M6
B16W2S,-0.042783857,0.635842139,0.133401489,0.207428752,0.203886423,0.081023206,Current,Lolium,1600,M6
B18W1S,0.181342746,-0.027592725,0.081179829,-0.289775037,0.091905667,0.329116987,Current,Lolium,0,M1
B18W2S,0.062270516,-0.018399486,0.101049133,-0.508649063,0.274499813,-0.22237311,Current,Lolium,0,M1
B19W1S,0.16617736,-0.056344017,-0.212791054,-0.14925813,0.134525685,-0.311729898,Current,Lolium,400,M2
B19W2S,-0.001237893,0.550227966,-0.032498598,-0.033271868,0.307871086,-0.008841713,Current,Lolium,400,M2
B21W1S,0.460463887,-0.074488151,-0.131849238,0.093940235,0.370311951,0.167475778,Current,Lolium,1300,M5
B21W2S,0.250709777,-0.136469125,0.207329456,-0.119457104,0.344111542,0.176857574,Current,Lolium,1300,M5
B23W1S,-0.169866385,-0.12517256,0.078088968,0.145102915,-0.575032562,-0.203401901,Current,Lolium,1000,M4
B23W2S,-0.15995414,0.742947206,0.222893998,0.356796601,0.098638495,0.162104938,Current,Lolium,1000,M4
C26W1S,-0.136174415,0.368866877,0.361988023,0.18938443,0.359366489,0.134668401,Future,Lolium,900,M4
C26W2S,-0.141675495,-0.278161491,-0.133677328,0.103216409,0.049991886,-0.03892631,Future,Lolium,900,M4
C28W1S,-0.535534791,-0.168410917,-0.095569111,0.224369899,0.377503375,0.20037778,Future,Lolium,1200,M5
C28W2S,0.232651751,-0.048976733,0.098209531,-0.053572469,0.23206823,0.270913666,Future,Lolium,1200,M5
C30W1S,-0.478153387,-0.117653305,-0.241690849,-0.152130214,0.353112601,0.419822574,Future,Lolium,1500,M6
C30W2S,0.319685403,-0.085051144,0.174109571,-0.055862712,0.623031173,-0.237136464,Future,Lolium,1500,M6
C31W1S,0.385749207,0.065548616,-0.302132673,0.049020515,0.50788099,-0.336526703,Future,Lolium,0,M1
C31W2S,0.043816089,-0.127124025,-0.35021746,-0.2443521,0.110568738,0.156069207,Future,Lolium,0,M1
C33W1S,0.219329634,-0.004227264,0.141342086,-0.284489593,0.255753144,-0.06116676,Future,Lolium,300,M2
C33W2S,-0.563124033,-0.199716091,-0.360168082,0.000186748,-0.015325171,-0.086861804,Future,Lolium,300,M2
C35W1S,-0.542380734,-0.199019799,-0.245391902,0.025174677,0.323439799,-0.128909856,Future,Lolium,600,M3
C35W2S,-0.573251566,-0.224566,-0.244409604,-0.080789012,0.080344525,0.416954949,Future,Lolium,600,M3
D37W1S,-0.127936783,0.527476068,-0.108744251,-0.089699897,-0.257190532,-0.225281471,Current,Lolium,900,M4
D37W2S,-0.059379837,0.207163562,-0.035975959,-0.470376402,-0.290731746,0.152132643,Current,Lolium,900,M4
D39W1S,-0.15984779,0.390495846,0.124951615,-0.062130524,0.088900366,0.224085396,Current,Lolium,1200,M5
D39W2S,0.282473503,0.075776576,-0.190447905,-0.319644018,0.028646356,0.147308113,Current,Lolium,1200,M5
D41W1S,0.445199006,-0.07799915,-0.173735666,0.306760162,-0.079883187,0.219848579,Current,Lolium,1500,M6
D41W2S,0.261143597,0.112604252,-0.128915461,-0.052350666,-0.018280377,0.198397264,Current,Lolium,1500,M6
D44W1S,-0.256247144,0.033732766,-0.339386386,-0.305621037,-0.033107381,-0.594125924,Current,Lolium,0,M1
D44W2S,-0.136846237,0.69253385,0.037641763,0.224777268,0.097612503,-0.668972354,Current,Lolium,0,M1
D46W1S,-0.123124188,-0.111864036,-0.098324193,-0.146119182,0.277755509,-0.077222015,Current,Lolium,300,M2
D46W2S,0.468878604,-0.165539232,-0.140320872,0.438873242,-0.049428832,0.292647221,Current,Lolium,300,M2
D48W1S,-0.006410473,-0.049294728,-0.227243627,-0.203275262,0.301511715,-0.545731007,Current,Lolium,600,M3
D48W2S,0.134800292,-0.229481407,-0.219489569,0.379587977,-0.004916972,-0.469050863,Current,Lolium,600,M3
