,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A08W2L,-0.451775958,-0.053740262,-0.026435076,-0.046528886,-0.014131775,3.54E-06,Future,Lolium,400,M2
A10W1L,-0.442005333,-0.010545582,0.003473357,-0.011435992,-0.021433521,0.007485336,Future,Lolium,1300,M5
A10W2L,-0.441457933,-0.008114248,0.000823151,-0.00998348,-0.016153098,0.010003802,Future,Lolium,1300,M5
A12W1L,-0.291162121,0.037893207,0.045028448,-0.021165458,0.020780831,0.005832429,Future,Lolium,1000,M4
A12W2L,-0.436886679,-0.016296316,0.004296304,-0.025833792,-0.02792553,0.003732599,Future,Lolium,1000,M4
B14W1L,-0.376832924,-0.021988994,-0.013573241,-0.010497108,-0.007738212,0.006572888,Current,Lolium,700,M3
B14W2L,-0.420604867,-0.018375898,0.000175367,-0.02684164,-0.024212644,0.004643856,Current,Lolium,700,M3
B16W1L,-0.42483494,-0.037564995,-0.01387977,-0.046978638,-0.017816858,0.002525701,Current,Lolium,1600,M6
B16W2L,0.23759301,0.757402724,0.664226525,-0.401408584,-0.224586707,-0.002783448,Current,Lolium,1600,M6
B18W1L,-0.410373773,-0.047349467,-0.012840284,-0.047753833,-0.009587628,0.013379915,Current,Lolium,0,M1
B18W2L,-0.27693046,-0.021131351,-0.014562354,0.036629498,-0.007604724,0.000427708,Current,Lolium,0,M1
B19W1L,-0.257478113,-0.004611246,-0.004797874,0.061236779,-0.00159662,0.006334562,Current,Lolium,400,M2
B19W2L,-0.249880642,0.058564582,0.042302531,0.084588984,0.049622776,-0.026027341,Current,Lolium,400,M2
B21W1L,-0.451775958,-0.053740262,-0.026435076,-0.046528886,-0.014131775,3.54E-06,Current,Lolium,1300,M5
B21W2L,-0.448967987,-0.041918576,-0.020790711,-0.037596373,-0.023764815,0.000161771,Current,Lolium,1300,M5
B23W1L,-0.230749585,0.012613044,0.008222728,0.014875513,0.078683202,-0.036309556,Current,Lolium,1000,M4
B23W2L,0.21741331,0.853682697,0.784010543,-0.361717709,0.108560587,0.057800229,Current,Lolium,1000,M4
C26W1L,-0.428237948,-0.018819806,-0.002898925,-0.037716023,-0.011069074,0.013152428,Future,Lolium,900,M4
C26W2L,0.230007364,0.839082433,0.767525829,-0.347470283,0.103931525,0.056015532,Future,Lolium,900,M4
