ASV ID,kingdom,phylum,class,order,family,genus,species
2bfb4f07314b3a7341bfc7f96e4c6dbf,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,metagenome
2abaef375047556246d44509f42e15e5,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,wastewater_metagenome
a4b9fd378ff84acac1bc9b190bab7f05,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora,Unassigned
80e9628b2a50dca40e194cd0496165af,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured_bacterium
d3ac14bf978a668c0dfc12ae56eeedfe,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Unassigned
4e0b8f8e02665c2a0e2f2636a5ad6fc7,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,uncultured_Acidobacteriaceae
257d32c102809775347d7d7433c6240d,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium
dbc64af248b6473ec49d5765945fe4cf,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured_bacterium
c02007c7dae6d9dbfa5907bdbe22e2c3,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,uncultured_bacterium
0c9c0637de969ffca10cd26772200869,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium,Unassigned
65165ebffe00d6b4241f1e8cacaee7e6,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora,Unassigned
15cc07a27ab2b793c6818f13a9196d38,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured_bacterium
984a0b870fb2247825cfb5cd4a770a00,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
5a244ebdffec3c333911798eb2c93dc8,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Unassigned
