ASV ID,kingdom,phylum,class,order,family,genus,species
792ad2f7e82b89355c68d50663100da8,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781,uncultured_bacterium
fe0bdb472df549dab6e07d118e37113a,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Unassigned
88d8fcfe3968da992f8c2dce986d5283,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Unassigned
90b816c67501e7bd393f850b3716e5b6,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Unassigned
d27a56783b4b1399d5461c760d5a4c91,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,LWQ8,uncultured_bacterium
aa1ad1f31676fb4ff111b480bcd05acb,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium
23ba88c9934573353144789fe60ed475,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,uncultured,uncultured_bacterium
667f04130d2b6d9c8ca33695ac167ca8,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,uncultured_bacterium
d88705c4940daf9267cd9275e35383ac,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,metagenome
60b374116a8f26ec78060784bd3c1d7b,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,metagenome
fca1de67d55806591dad050a437740a8,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unassigned
ed58712217269578a79076e1f2fd99b0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,Unassigned
2c37a6955d36a43fe16d6c45e7aef080,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacteraceae,Unassigned
6d275c2096f38334ca3d90a46b2d230e,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,Unassigned
3fd9bbc947c8066e4d653997a1e1969a,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,Unassigned
e9f8780dc74b996ce81ad6c3bfb7b080,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,uncultured_Actinomycetales
97d412dd55dab9abeb9200adf22ea488,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Unassigned
807a23a7a42febd551f811b0b10c1393,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Unassigned
59d02b3febcc93591dd07ffeecc5be9c,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Microcoleus_PCC-7113,Microcoleus_sp.
1ecc599cf294661b33a49be7d7c7f941,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Unassigned
8e43f42f7e16eac2aa755a11e1f38d7a,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,uncultured_bacterium
8801b98d7610114b3e5c599eb77fe138,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_Acidobacterium
d09528d744a752a08e2342e202d60208,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,uncultured_soil
483ddb0307cc04147ec729638b8ebfad,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured_bacterium
7f63da283198f5068532d5d516741e8a,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Unassigned,Unassigned
78b9420b71bce02270f0971dfdfb490d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Unassigned
c94d128503a7e8c4a951e286bef56390,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,metagenome
08d95ed3d8591fcc721f35b043fe5ad4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,metagenome
c236ee97ac5f4cc432ff635c4ade9e4e,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,uncultured_bacterium
39204d27352e4b1b8e5982cb6ffe6a91,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured_bacterium
13a99d742733c6f8bce54765fbf375a9,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,uncultured_bacterium
290d5448a3495d3d3f037d3f9dff1498,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,Unassigned
f1b4925af3ddc0683b7fc58f7462a338,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavitalea,Unassigned
9501bf9c90425774860335efc7adbf21,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,type_III,type_III,uncultured_Mollicutes
ccb00de8620f859ef33eba9495b8c00a,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_planctomycete
e2f125324e196bcbd5e016fb1b180aad,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
40b7bf839e8d4858819a24d30d735072,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidipila,metagenome
8d1ed418b92167e67ff4d759d752cbd4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unassigned
7608e1193b45cc0c3c3ee030cce0c6d0,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
fc6f455033f35778568a1fac87d0544e,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,metagenome
e567c86daa1a12694dd868f7dcf6c411,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,uncultured_bacterium
27ab685390f5ee44e5428865b1b85f11,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_bacterium
8bb288f7b08ab8f397db5dc2b9af3f02,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured_bacterium
0c0cf72a58f2b80c7cbb6f4ce0b17cff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,Unassigned
87763517d6b82d9819035e7ccad79408,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,uncultured_Caldilinea
03486b3c217926a3bfa55c7bb52ebc32,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,bacterium_Ellin6059
4cb9dd4abaf2c603df2d284be62770de,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,metagenome
2371023b0b2959dabd52a7b9bcd1af2d,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,Unassigned
65be7c223f728ee2dc568591d7fc496e,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,uncultured,uncultured_bacterium
c372a90acc11e92391c34a97d5247475,Bacteria,Actinobacteriota,Acidimicrobiia,Unassigned,Unassigned,Unassigned,Unassigned
3b44dbd826b8fd749d586f0e42d9199a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,Unassigned
9f50183eb781ef478bb9ecb33b969eff,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,uncultured_Gemmatimonadetes
4f05d7a8822ac7e98dd87c93f132b5f7,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,Unassigned
ac1bcfcc00b80542d2675ff5a91db435,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium
