Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
A02D1R,A,2,Festuca,1,Root,700,7.0250819,Future,Fungi
A02D2R,A,2,Festuca,2,Root,700,7.0250819,Future,Fungi
A04D1R,A,4,Festuca,1,Root,1600,11.5384615,Future,Fungi
A04D2R,A,4,Festuca,2,Root,1600,11.5384615,Future,Fungi
A06D1R,A,6,Festuca,1,Root,0,8.4688541,Future,Fungi
A06D2R,A,6,Festuca,2,Root,0,8.4688541,Future,Fungi
A07D1R,A,7,Festuca,1,Root,400,7.8556524,Future,Fungi
A07D2R,A,7,Festuca,2,Root,400,7.8556524,Future,Fungi
A09D1R,A,9,Festuca,1,Root,1300,11.7782291,Future,Fungi
A09D2R,A,9,Festuca,2,Root,1300,11.7782291,Future,Fungi
A11D1R,A,11,Festuca,1,Root,1000,8.0669113,Future,Fungi
A11D2R,A,11,Festuca,2,Root,1000,8.0669113,Future,Fungi
B13D1R,B,13,Festuca,1,Root,700,9.7964783,Current,Fungi
B13D2R,B,13,Festuca,2,Root,700,9.7964783,Current,Fungi
B15D1R,B,15,Festuca,1,Root,1600,14.8401967,Current,Fungi
B15D2R,B,15,Festuca,2,Root,1600,14.8401967,Current,Fungi
B17D1R,B,17,Festuca,1,Root,0,8.0085046,Current,Fungi
B17D2R,B,17,Festuca,2,Root,0,8.0085046,Current,Fungi
B20D1R,B,20,Festuca,1,Root,400,7.1194907,Current,Fungi
B20D2R,B,20,Festuca,2,Root,400,7.1194907,Current,Fungi
B22D1R,B,22,Festuca,1,Root,1300,22.9398278,Current,Fungi
B22D2R,B,22,Festuca,2,Root,1300,22.9398278,Current,Fungi
B24D1R,B,24,Festuca,1,Root,1000,22.8444974,Current,Fungi
B24D2R,B,24,Festuca,2,Root,1000,22.8444974,Current,Fungi
C25D1R,C,25,Festuca,1,Root,900,12.0503096,Future,Fungi
C25D2R,C,25,Festuca,2,Root,900,12.0503096,Future,Fungi
C27D1R,C,27,Festuca,1,Root,1200,16.1399646,Future,Fungi
C27D2R,C,27,Festuca,2,Root,1200,16.1399646,Future,Fungi
C29D1R,C,29,Festuca,1,Root,1500,20.0049032,Future,Fungi
C29D2R,C,29,Festuca,2,Root,1500,20.0049032,Future,Fungi
C32D1R,C,32,Festuca,1,Root,0,6.0754128,Future,Fungi
C32D2R,C,32,Festuca,2,Root,0,6.0754128,Future,Fungi
C34D1R,C,34,Festuca,1,Root,300,9.7305422,Future,Fungi
C34D2R,C,34,Festuca,2,Root,300,9.7305422,Future,Fungi
C36D1R,C,36,Festuca,1,Root,600,11.2000447,Future,Fungi
C36D2R,C,36,Festuca,2,Root,600,11.2000447,Future,Fungi
D38D1R,D,38,Festuca,1,Root,900,8.6474907,Current,Fungi
D38D2R,D,38,Festuca,2,Root,900,8.6474907,Current,Fungi
D40D1R,D,40,Festuca,1,Root,1200,16.4291337,Current,Fungi
D40D2R,D,40,Festuca,2,Root,1200,16.4291337,Current,Fungi
D42D1R,D,42,Festuca,1,Root,1500,14.2653867,Current,Fungi
D42D2R,D,42,Festuca,2,Root,1500,14.2653867,Current,Fungi
D43D1R,D,43,Festuca,1,Root,0,9.6708489,Current,Fungi
D43D2R,D,43,Festuca,2,Root,0,9.6708489,Current,Fungi
D45D1R,D,45,Festuca,1,Root,300,7.8406986,Current,Fungi
D45D2R,D,45,Festuca,2,Root,300,7.8406986,Current,Fungi
D47D1R,D,47,Festuca,1,Root,600,9.6111134,Current,Fungi
D47D2R,D,47,Festuca,2,Root,600,9.6111134,Current,Fungi
A01W1R,A,1,Lolium,1,Root,700,7.8497283,Future,Fungi
A01W2R,A,1,Lolium,2,Root,700,7.8497283,Future,Fungi
A03W1R,A,3,Lolium,1,Root,1600,9.5305032,Future,Fungi
A03W2R,A,3,Lolium,2,Root,1600,9.5305032,Future,Fungi
A05W1R,A,5,Lolium,1,Root,0,7.0749824,Future,Fungi
A05W2R,A,5,Lolium,2,Root,0,7.0749824,Future,Fungi
A08W1R,A,8,Lolium,1,Root,400,7.1942959,Future,Fungi
A08W2R,A,8,Lolium,2,Root,400,7.1942959,Future,Fungi
A10W1R,A,10,Lolium,1,Root,1300,10.0468167,Future,Fungi
A10W2R,A,10,Lolium,2,Root,1300,10.0468167,Future,Fungi
A12W1R,A,12,Lolium,1,Root,1000,8.5578447,Future,Fungi
A12W2R,A,12,Lolium,2,Root,1000,8.5578447,Future,Fungi
B14W1R,B,14,Lolium,1,Root,700,8.9561816,Current,Fungi
B14W2R,B,14,Lolium,2,Root,700,8.9561816,Current,Fungi
B16W1R,B,16,Lolium,1,Root,1600,11.2660172,Current,Fungi
B16W2R,B,16,Lolium,2,Root,1600,11.2660172,Current,Fungi
B18W1R,B,18,Lolium,1,Root,0,10.6371166,Current,Fungi
B18W2R,B,18,Lolium,2,Root,0,10.6371166,Current,Fungi
B19W1R,B,19,Lolium,1,Root,400,8.4144764,Current,Fungi
B19W2R,B,19,Lolium,2,Root,400,8.4144764,Current,Fungi
B21W1R,B,21,Lolium,1,Root,1300,11.257776,Current,Fungi
B21W2R,B,21,Lolium,2,Root,1300,11.257776,Current,Fungi
B23W1R,B,23,Lolium,1,Root,1000,9.4384054,Current,Fungi
B23W2R,B,23,Lolium,2,Root,1000,9.4384054,Current,Fungi
C26W1R,C,26,Lolium,1,Root,900,9.3170059,Future,Fungi
C26W2R,C,26,Lolium,2,Root,900,9.3170059,Future,Fungi
C28W1R,C,28,Lolium,1,Root,1200,11.6906748,Future,Fungi
C28W2R,C,28,Lolium,2,Root,1200,11.6906748,Future,Fungi
C30W1R,C,30,Lolium,1,Root,1500,11.4048657,Future,Fungi
C30W2R,C,30,Lolium,2,Root,1500,11.4048657,Future,Fungi
C31W1R,C,31,Lolium,1,Root,0,7.6382923,Future,Fungi
C31W2R,C,31,Lolium,2,Root,0,7.6382923,Future,Fungi
C33W1R,C,33,Lolium,1,Root,300,8.4307235,Future,Fungi
C33W2R,C,33,Lolium,2,Root,300,8.4307235,Future,Fungi
C35W1R,C,35,Lolium,1,Root,600,10.053912,Future,Fungi
C35W2R,C,35,Lolium,2,Root,600,10.053912,Future,Fungi
D37W1R,D,37,Lolium,1,Root,900,8.5838991,Current,Fungi
D37W2R,D,37,Lolium,2,Root,900,8.5838991,Current,Fungi
D39W1R,D,39,Lolium,1,Root,1200,8.2801855,Current,Fungi
D39W2R,D,39,Lolium,2,Root,1200,8.2801855,Current,Fungi
D41W1R,D,41,Lolium,1,Root,1500,11.759793,Current,Fungi
D41W2R,D,41,Lolium,2,Root,1500,11.759793,Current,Fungi
D44W1R,D,44,Lolium,1,Root,0,7.1749252,Current,Fungi
D44W2R,D,44,Lolium,2,Root,0,7.1749252,Current,Fungi
D46W1R,D,46,Lolium,1,Root,300,20.6010164,Current,Fungi
D46W2R,D,46,Lolium,2,Root,300,20.6010164,Current,Fungi
D48W1R,D,48,Lolium,1,Root,600,11.552196,Current,Fungi
D48W2R,D,48,Lolium,2,Root,600,11.552196,Current,Fungi
