Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
C31W2L,C,31,Lolium,2,Leaf,0,7.6382923,Future,Bacteria
C33W1L,C,33,Lolium,1,Leaf,300,8.4307235,Future,Bacteria
C33W2L,C,33,Lolium,2,Leaf,300,8.4307235,Future,Bacteria
C35W1L,C,35,Lolium,1,Leaf,600,10.053912,Future,Bacteria
C35W2L,C,35,Lolium,2,Leaf,600,10.053912,Future,Bacteria
D37W1L,D,37,Lolium,1,Leaf,900,8.5838991,Current,Bacteria
D37W2L,D,37,Lolium,2,Leaf,900,8.5838991,Current,Bacteria
D39W1L,D,39,Lolium,1,Leaf,1200,8.2801855,Current,Bacteria
D39W2L,D,39,Lolium,2,Leaf,1200,8.2801855,Current,Bacteria
D41W1L,D,41,Lolium,1,Leaf,1500,11.759793,Current,Bacteria
D41W2L,D,41,Lolium,2,Leaf,1500,11.759793,Current,Bacteria
D44W1L,D,44,Lolium,1,Leaf,0,7.1749252,Current,Bacteria
D44W2L,D,44,Lolium,2,Leaf,0,7.1749252,Current,Bacteria
D46W1L,D,46,Lolium,1,Leaf,300,20.6010164,Current,Bacteria
D46W2L,D,46,Lolium,2,Leaf,300,20.6010164,Current,Bacteria
D48W1L,D,48,Lolium,1,Leaf,600,11.552196,Current,Bacteria
D48W2L,D,48,Lolium,2,Leaf,600,11.552196,Current,Bacteria
