Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
A08W1S,A,8,Lolium,1,Soil,400,7.1942959,Future,Fungi
A08W2S,A,8,Lolium,2,Soil,400,7.1942959,Future,Fungi
A10W1S,A,10,Lolium,1,Soil,1300,10.0468167,Future,Fungi
A10W2S,A,10,Lolium,2,Soil,1300,10.0468167,Future,Fungi
A12W1S,A,12,Lolium,1,Soil,1000,8.5578447,Future,Fungi
A12W2S,A,12,Lolium,2,Soil,1000,8.5578447,Future,Fungi
B14W1S,B,14,Lolium,1,Soil,700,8.9561816,Current,Fungi
B14W2S,B,14,Lolium,2,Soil,700,8.9561816,Current,Fungi
B16W1S,B,16,Lolium,1,Soil,1600,11.2660172,Current,Fungi
B16W2S,B,16,Lolium,2,Soil,1600,11.2660172,Current,Fungi
B18W1S,B,18,Lolium,1,Soil,0,10.6371166,Current,Fungi
B18W2S,B,18,Lolium,2,Soil,0,10.6371166,Current,Fungi
B19W1S,B,19,Lolium,1,Soil,400,8.4144764,Current,Fungi
B19W2S,B,19,Lolium,2,Soil,400,8.4144764,Current,Fungi
B21W1S,B,21,Lolium,1,Soil,1300,11.257776,Current,Fungi
B21W2S,B,21,Lolium,2,Soil,1300,11.257776,Current,Fungi
B23W1S,B,23,Lolium,1,Soil,1000,9.4384054,Current,Fungi
B23W2S,B,23,Lolium,2,Soil,1000,9.4384054,Current,Fungi
C26W1S,C,26,Lolium,1,Soil,900,9.3170059,Future,Fungi
C26W2S,C,26,Lolium,2,Soil,900,9.3170059,Future,Fungi
C28W1S,C,28,Lolium,1,Soil,1200,11.6906748,Future,Fungi
C28W2S,C,28,Lolium,2,Soil,1200,11.6906748,Future,Fungi
C30W1S,C,30,Lolium,1,Soil,1500,11.4048657,Future,Fungi
C30W2S,C,30,Lolium,2,Soil,1500,11.4048657,Future,Fungi
C31W1S,C,31,Lolium,1,Soil,0,7.6382923,Future,Fungi
C31W2S,C,31,Lolium,2,Soil,0,7.6382923,Future,Fungi
C33W1S,C,33,Lolium,1,Soil,300,8.4307235,Future,Fungi
C33W2S,C,33,Lolium,2,Soil,300,8.4307235,Future,Fungi
C35W1S,C,35,Lolium,1,Soil,600,10.053912,Future,Fungi
C35W2S,C,35,Lolium,2,Soil,600,10.053912,Future,Fungi
D37W1S,D,37,Lolium,1,Soil,900,8.5838991,Current,Fungi
D37W2S,D,37,Lolium,2,Soil,900,8.5838991,Current,Fungi
D39W1S,D,39,Lolium,1,Soil,1200,8.2801855,Current,Fungi
D39W2S,D,39,Lolium,2,Soil,1200,8.2801855,Current,Fungi
D41W1S,D,41,Lolium,1,Soil,1500,11.759793,Current,Fungi
D41W2S,D,41,Lolium,2,Soil,1500,11.759793,Current,Fungi
D44W1S,D,44,Lolium,1,Soil,0,7.1749252,Current,Fungi
D44W2S,D,44,Lolium,2,Soil,0,7.1749252,Current,Fungi
D46W1S,D,46,Lolium,1,Soil,300,20.6010164,Current,Fungi
D46W2S,D,46,Lolium,2,Soil,300,20.6010164,Current,Fungi
D48W1S,D,48,Lolium,1,Soil,600,11.552196,Current,Fungi
D48W2S,D,48,Lolium,2,Soil,600,11.552196,Current,Fungi
