Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
C35W1S,C,35,Lolium,1,Soil,600,10.053912,Future,Bacteria
C35W2S,C,35,Lolium,2,Soil,600,10.053912,Future,Bacteria
D37W1S,D,37,Lolium,1,Soil,900,8.5838991,Current,Bacteria
D37W2S,D,37,Lolium,2,Soil,900,8.5838991,Current,Bacteria
D39W1S,D,39,Lolium,1,Soil,1200,8.2801855,Current,Bacteria
D39W2S,D,39,Lolium,2,Soil,1200,8.2801855,Current,Bacteria
D41W1S,D,41,Lolium,1,Soil,1500,11.759793,Current,Bacteria
D41W2S,D,41,Lolium,2,Soil,1500,11.759793,Current,Bacteria
D44W1S,D,44,Lolium,1,Soil,0,7.1749252,Current,Bacteria
D44W2S,D,44,Lolium,2,Soil,0,7.1749252,Current,Bacteria
D46W1S,D,46,Lolium,1,Soil,300,20.6010164,Current,Bacteria
D46W2S,D,46,Lolium,2,Soil,300,20.6010164,Current,Bacteria
D48W1S,D,48,Lolium,1,Soil,600,11.552196,Current,Bacteria
D48W2S,D,48,Lolium,2,Soil,600,11.552196,Current,Bacteria
